Longitude,Latitude
103.606308,1.590881
103.606394,1.590876
103.606492,1.590876
103.606572,1.59086
103.606589,1.590784
103.606524,1.590789
103.606432,1.590795
103.606357,1.590805
103.606276,1.590811
103.606303,1.590746
103.606389,1.590746
103.606454,1.590729
103.606556,1.590724
103.606632,1.590713
103.606702,1.590713
103.606675,1.590637
103.606616,1.590561
103.60654,1.590578
103.606583,1.590643
103.606508,1.590648
103.606438,1.590659
103.606341,1.590675
103.606702,1.590567
103.60674,1.590627
103.60681,1.590703
103.606767,1.590784
103.606853,1.590773
103.606928,1.590762
103.607009,1.590752
103.60709,1.590746
103.607176,1.590741
103.607139,1.590681
103.60722,1.590659
103.607171,1.590594
103.607241,1.590578
103.607328,1.590584
103.607096,1.590605
103.607004,1.590605
103.606934,1.590621
103.606831,1.590627
103.606885,1.590697
103.606961,1.590686
103.607042,1.590681
103.60674,1.590849
103.606815,1.590838
103.606993,1.590822
103.606901,1.590827
103.607047,1.590817
103.607139,1.590817
103.607193,1.590795
103.607273,1.590877
103.607284,1.590811
103.606788,1.590545
103.606745,1.590491
103.606691,1.590431
103.606767,1.590415
103.606821,1.590469
103.606864,1.59054
103.606945,1.590534
103.606912,1.59048
103.606864,1.590415
103.606929,1.590388
103.606983,1.590453
103.607036,1.590545
103.607106,1.590524
103.607069,1.590469
103.60715,1.590437
103.607193,1.590524
103.607268,1.590524
103.607236,1.590448
103.607193,1.590388
103.607155,1.590307
103.607063,1.590323
103.60702,1.590247
103.607112,1.590388
103.607015,1.590393
103.606977,1.590323
103.606902,1.590339
103.606815,1.590355
103.607274,1.590356
103.607349,1.590361
103.607322,1.590453
103.607295,1.590307
103.607263,1.590231
103.607182,1.590236
103.607322,1.590209
103.607387,1.590209
103.607285,1.590155
103.607193,1.590176
103.607355,1.59016
103.607398,1.590117
103.607441,1.590155
103.607425,1.590247
103.607387,1.590301
103.607333,1.590513
103.607301,1.590676
103.606173,1.590686
103.606217,1.59061
103.606244,1.590653
103.606292,1.590599
103.606244,1.590529
103.606325,1.590518
103.606373,1.590583
103.606416,1.590523
103.606373,1.590447
103.60633,1.590377
103.606281,1.590463
103.606352,1.590284
103.6064,1.590371
103.606438,1.590426
103.606481,1.590496
103.606486,1.590361
103.606438,1.590306
103.606395,1.590236
103.606416,1.59016
103.606497,1.590149
103.606589,1.590149
103.606675,1.590127
103.606708,1.590198
103.606772,1.590274
103.606805,1.590192
103.606859,1.590274
103.606756,1.590122
103.606848,1.590122
103.606875,1.590198
103.606956,1.590187
103.606934,1.590111
103.607064,1.590122
103.607026,1.590171
103.6066,1.590285
103.606557,1.590214
103.606476,1.59023
103.606513,1.590285
103.606573,1.590361
103.606632,1.590355
103.606713,1.590361
103.606524,1.590437
103.606578,1.590507
103.604238,1.590115
103.604276,1.590028
103.604314,1.589979
103.604357,1.589898
103.604389,1.589838
103.604422,1.589757
103.604459,1.589697
103.604508,1.589632
103.604324,1.590109
103.604373,1.590153
103.604357,1.590039
103.604416,1.590115
103.604475,1.590104
103.604524,1.590148
103.604605,1.590142
103.604556,1.590088
103.604518,1.590034
103.604448,1.590039
103.604394,1.589974
103.604475,1.589958
103.604551,1.589958
103.604583,1.590023
103.604637,1.590093
103.604675,1.590142
103.604766,1.590142
103.604713,1.590093
103.604664,1.590028
103.604632,1.589952
103.604599,1.589893
103.604519,1.589892
103.604443,1.589898
103.604475,1.589827
103.604546,1.589817
103.604513,1.589751
103.604551,1.589681
103.604589,1.589616
103.604556,1.589556
103.604632,1.58967
103.604594,1.589751
103.604637,1.589817
103.604675,1.589893
103.604707,1.589958
103.604745,1.590012
103.604777,1.590088
103.604831,1.590023
103.604863,1.590088
103.604944,1.590088
103.604907,1.590018
